"Alpha","Beta","Gamma","b","Mull_pop_C1","Mull_pop_C2","Mull_pop_H3","Mull_pop_H4","Mull_popH5","Mull_pop_H6","Mull_pop_P"
"90","0","0","1.70","6.31350358035","5.9408438406","0.694573079675","0.658366111542","0.721909844549","0.682611075096","0.988192468182"
"90","0","0","1.80","6.27978708407","5.67900475591","0.659307632109","0.708592128867","0.697870313341","0.986663940644","0.988774145055"
"90","0","0","1.90","6.09009206062","6.3220456431","0.545688700161","0.641689401975","0.689905873711","0.976995702822","0.733582617612"
"90","0","0","2.00","5.92010718438","5.94251912935","0.970595895314","0.554513424942","0.819537209797","0.989512285883","0.803214870337"
"90","0","0","2.10","5.84511396377","5.95303260031","0.96771044877","0.660402577336","0.610372125939","1.00034542641","0.963022857464"
"90","0","0","2.20","6.28582541166","5.78788885919","0.617798319067","0.729101961756","0.673464231874","1.00767668196","0.898244534497"
"90","0","0","2.30","6.39300996866","5.77205431874","0.674716580008","0.740044071179","0.638224815942","0.978562810708","0.803387434754"
"90","0","0","2.40","6.43940017743","5.90346414434","0.731896165051","0.678004649073","0.650921120193","1.02165136637","0.574662377543"
"90","0","0","2.50","6.29141343744","5.86010195722","0.661944098148","0.675327493361","0.678000675088","0.995659128326","0.837553210412"
"90","180","0","0.00","6.26375830121","6.29754185112","0.825327136527","0.825327806102","0.892654787837","0.892654907373","2.74E-3"
"90","180","0","0.10","6.15556115478","6.25783495099","0.766000073103","0.717193281934","0.544490470826","0.695074189904","0.863845878454"
"90","180","0","0.20","6.30666143644","5.88406735454","0.749691994454","0.648172937387","0.578058652226","1.00928126984","0.82406635511"
"90","180","0","0.30","6.35777716153","5.83376370287","0.673477623897","0.622874727789","0.649100744684","0.990610687459","0.872395351774"
"90","180","0","0.40","6.38685947195","5.67012946921","0.647941258677","0.63413060683","0.686586527238","0.972361693473","1.00199097261"
"90","180","0","0.50","6.36022120853","5.84454766339","0.581373032574","0.676385674357","0.633039785743","0.936907290589","0.967525344824"
"90","180","0","0.60","6.33286805741","5.80390517976","0.701478622696","0.661907578668","0.658903649004","1.01064477066","0.8302921418"
